id,location,2024-01-06,2024-01-13,2024-01-20,2024-01-27,2024-02-03
1,01,325.5,321.2,258.3,206.0,169.5
2,02,3.0,4.4,3.6,3.1,3.2
3,04,1030.5,961.3,677.5,406.4,157.3
4,05,242.5,212.7,209.9,190.9,168.8
5,06,1684.1,1408.3,1253.0,1561.1,641.0
6,08,356.0,274.2,193.7,160.9,179.8
7,09,190.1,166.6,133.9,109.8,138.0
8,10,54.5,45.9,34.9,43.7,31.0
9,11,56.9,52.6,45.9,37.0,18.8
10,12,1508.5,1226.8,1109.7,1045.7,1000.4
11,13,970.7,742.5,583.3,553.5,292.6
12,15,34.6,42.8,36.4,36.2,41.6
13,16,167.0,150.2,106.0,54.6,45.1
14,17,544.8,451.8,357.8,356.8,291.6
15,18,492.0,450.4,332.4,282.8,234.5
16,19,118.0,99.7,95.6,107.7,109.4
17,20,95.6,94.3,86.3,75.7,60.2
18,21,333.5,284.4,272.7,226.8,143.9
19,22,350.1,281.7,197.7,119.8,98.0
20,23,65.1,64.1,57.7,51.3,51.4
21,24,324.6,301.4,209.3,213.2,150.0
22,25,756.2,670.5,560.9,467.5,243.3
23,26,654.5,488.6,335.3,312.8,250.3
24,27,218.2,175.2,143.5,146.1,145.8
25,28,294.8,259.2,212.8,160.6,115.1
26,29,373.4,298.4,242.7,169.9,142.5
27,30,122.7,112.6,95.0,65.9,56.8
28,31,59.1,52.7,43.2,40.9,29.6
29,32,147.5,137.0,97.6,68.1,45.0
30,33,46.6,47.6,46.6,45.7,40.6
31,34,736.0,717.3,553.4,285.7,168.9
32,35,221.4,224.3,180.7,132.4,61.3
33,36,1278.0,1164.3,881.5,790.0,592.2
34,37,933.9,844.8,753.0,533.2,222.7
35,38,44.2,40.6,36.2,39.0,27.4
36,39,630.7,527.9,509.2,278.7,248.8
37,40,146.1,161.0,151.5,133.7,137.5
38,41,143.7,140.6,129.2,146.0,123.5
39,42,922.5,715.3,523.7,482.8,330.9
40,44,52.0,51.8,44.4,33.8,44.8
41,45,476.0,464.8,339.2,146.1,98.1
42,46,51.5,45.3,37.4,41.2,31.0
43,47,595.5,483.2,394.1,284.3,271.3
44,48,2153.2,1828.6,1511.4,1200.6,1197.2
45,49,75.8,62.4,62.0,69.8,71.0
46,50,18.7,15.9,17.6,14.6,14.7
47,51,755.1,528.3,407.6,382.1,293.2
48,53,224.1,206.4,202.7,226.7,144.8
49,54,173.9,145.5,138.5,131.4,108.6
50,55,301.3,265.8,194.8,171.1,147.3
51,56,83.8,89.6,64.8,68.6,64.0
52,72,62.5,55.8,55.9,43.4,45.0
53,US,21700.1,18658.8,15222.2,12955.9,9539.5
