,id,location,2023-10-02,2023-10-03,2023-10-04,2023-10-05,2023-10-06,2023-10-07,2023-10-08,2023-10-09,2023-10-10,2023-10-11,2023-10-12,2023-10-13,2023-10-14,2023-10-15,2023-10-16,2023-10-17,2023-10-18,2023-10-19,2023-10-20,2023-10-21,2023-10-22,2023-10-23,2023-10-24,2023-10-25,2023-10-26,2023-10-27,2023-10-28,2023-10-29,2023-10-30,2023-10-31,2023-11-01,2023-11-02,2023-11-03
0,1,01,43.0,34.0,35.0,29.0,20.0,25.0,29.0,32.0,30.0,28.0,27.0,24.0,33.0,24.0,29.0,32.0,40.0,32.0,33.0,38.0,32.0,46.0,31.0,43.0,46.0,28.0,23.0,28.0,23.0,39.0,33.0,30.0,25.0
1,2,02,2.0,3.0,6.0,4.0,2.0,5.0,7.0,6.0,1.0,7.0,0.0,4.0,2.0,2.0,2.0,1.0,4.0,4.0,1.0,2.0,2.0,3.0,4.0,1.0,3.0,1.0,2.0,3.0,4.0,2.0,5.0,3.0,1.0
2,3,04,42.0,48.0,54.0,56.0,55.0,60.0,60.0,64.0,45.0,40.0,60.0,46.0,46.0,51.0,72.0,69.0,60.0,69.0,65.0,53.0,68.0,64.0,67.0,56.0,54.0,42.0,42.0,63.0,44.0,51.0,58.0,50.0,69.0
3,4,05,22.0,30.0,18.0,23.0,17.0,12.0,6.0,27.0,15.0,19.0,19.0,16.0,16.0,13.0,17.0,13.0,21.0,17.0,20.0,20.0,25.0,18.0,16.0,14.0,17.0,19.0,18.0,18.0,24.0,23.0,14.0,13.0,21.0
4,5,06,319.0,276.0,281.0,303.0,261.0,287.0,221.0,267.0,247.0,283.0,248.0,238.0,228.0,246.0,265.0,298.0,256.0,274.0,247.0,235.0,237.0,237.0,219.0,226.0,201.0,229.0,193.0,226.0,248.0,232.0,244.0,247.0,252.0
5,6,08,69.0,37.0,48.0,55.0,50.0,64.0,54.0,71.0,44.0,66.0,68.0,50.0,57.0,44.0,45.0,69.0,78.0,67.0,61.0,61.0,61.0,75.0,69.0,69.0,64.0,67.0,59.0,60.0,84.0,50.0,51.0,71.0,65.0
6,7,09,21.0,43.0,36.0,36.0,32.0,26.0,40.0,38.0,33.0,32.0,34.0,41.0,22.0,39.0,41.0,30.0,39.0,27.0,18.0,16.0,26.0,47.0,32.0,21.0,32.0,30.0,33.0,21.0,24.0,21.0,22.0,27.0,34.0
7,8,10,6.0,5.0,5.0,14.0,14.0,9.0,6.0,13.0,6.0,6.0,8.0,15.0,6.0,10.0,6.0,5.0,3.0,9.0,7.0,5.0,4.0,3.0,4.0,11.0,5.0,6.0,4.0,5.0,10.0,8.0,3.0,9.0,9.0
8,9,11,4.0,8.0,7.0,8.0,6.0,8.0,8.0,6.0,7.0,7.0,8.0,22.0,22.0,20.0,18.0,9.0,13.0,9.0,4.0,7.0,7.0,6.0,5.0,7.0,9.0,7.0,8.0,3.0,9.0,3.0,5.0,9.0,2.0
9,10,12,163.0,167.0,154.0,179.0,153.0,141.0,132.0,162.0,160.0,161.0,146.0,132.0,137.0,125.0,150.0,131.0,150.0,111.0,131.0,122.0,125.0,112.0,116.0,140.0,103.0,106.0,108.0,113.0,158.0,120.0,107.0,123.0,108.0
10,11,13,58.0,55.0,54.0,60.0,61.0,37.0,57.0,65.0,56.0,61.0,70.0,56.0,45.0,59.0,67.0,72.0,61.0,71.0,49.0,31.0,64.0,50.0,44.0,46.0,47.0,63.0,36.0,41.0,44.0,42.0,36.0,39.0,41.0
11,12,15,15.0,14.0,17.0,15.0,11.0,13.0,16.0,20.0,17.0,16.0,12.0,12.0,16.0,15.0,13.0,15.0,18.0,15.0,10.0,17.0,18.0,14.0,19.0,13.0,12.0,14.0,16.0,21.0,17.0,15.0,16.0,18.0,17.0
12,13,16,26.0,15.0,22.0,21.0,14.0,10.0,17.0,13.0,13.0,20.0,25.0,12.0,9.0,15.0,15.0,20.0,15.0,17.0,21.0,5.0,12.0,18.0,6.0,13.0,16.0,18.0,9.0,19.0,15.0,12.0,11.0,13.0,14.0
13,14,17,94.0,74.0,74.0,84.0,69.0,47.0,55.0,90.0,82.0,65.0,73.0,68.0,65.0,84.0,89.0,76.0,103.0,85.0,78.0,86.0,90.0,76.0,119.0,105.0,115.0,117.0,91.0,80.0,87.0,90.0,104.0,87.0,101.0
