,id,location,2023-11-04,2023-11-11,2023-11-18,2023-11-25,2023-12-02,2023-12-09,2023-12-16,2023-12-23,2023-12-30,2024-01-06,2024-01-13
0,1,01,37,60,77,73,85,111,151,278,298,350,237
1,2,02,33,39,17,14,15,14,4,5,4,5,6
2,3,04,51,132,191,212,279,393,606,961,1150,937,728
3,4,05,18,24,17,27,24,40,53,96,187,234,224
4,5,06,97,222,360,437,631,807,996,1632,1752,1420,1024
5,6,08,31,52,102,137,126,153,220,252,349,316,290
6,7,09,12,5,22,33,57,74,120,115,194,167,159
7,8,10,1,1,2,1,2,10,18,24,60,48,34
8,9,11,0,0,5,8,11,14,20,46,57,55,37
9,10,12,444,462,652,701,748,763,841,986,1328,1410,1061
10,11,13,60,116,133,156,225,261,442,746,1137,765,634
11,12,15,14,16,29,26,23,33,27,28,32,40,25
12,13,16,5,4,11,8,19,46,67,115,163,157,102
13,14,17,34,54,72,102,165,205,254,464,577,508,377
14,15,18,42,54,93,95,146,167,239,329,482,469,401
15,16,19,10,13,14,27,44,44,50,90,99,94,84
16,17,20,6,10,18,25,37,37,43,91,92,93,99
17,18,21,21,33,18,37,58,48,87,137,261,296,240
18,19,22,40,65,96,119,122,158,179,307,381,307,254
19,20,23,1,4,2,9,9,15,20,16,51,58,47
20,21,24,15,19,27,22,60,78,115,207,328,322,245
21,22,25,33,32,38,67,99,148,216,317,580,639,541
22,23,26,34,30,52,88,106,173,247,271,569,499,383
23,24,27,9,18,15,24,34,48,78,110,189,168,161
24,25,28,30,38,46,47,77,71,96,200,300,274,235
25,26,29,24,40,40,58,85,140,154,224,370,345,312
26,27,30,1,5,3,6,18,21,37,78,113,129,109
27,28,31,5,5,4,8,8,11,13,53,51,52,55
28,29,32,13,22,30,39,51,77,116,154,167,144,154
29,30,33,2,2,2,1,7,15,28,41,57,47,47
30,31,34,26,46,33,75,129,160,305,490,733,667,570
31,32,35,10,9,12,21,43,89,157,232,236,228,151
32,33,36,57,88,123,178,345,509,744,935,1343,1247,970
33,34,37,40,49,88,153,213,313,402,733,1076,779,505
34,35,38,0,2,7,4,17,11,16,26,49,51,31
35,36,39,21,26,56,75,134,161,239,428,638,574,542
36,37,40,18,34,37,34,71,62,85,159,139,174,214
37,38,41,6,11,17,11,17,43,45,103,147,142,115
38,39,42,39,82,89,125,217,284,395,709,1035,762,580
39,40,44,0,2,0,3,6,6,24,18,47,48,34
40,41,45,45,52,63,81,133,177,264,421,649,480,268
41,42,46,1,2,1,2,7,6,13,33,48,54,32
42,43,47,44,47,57,73,98,153,180,294,543,482,394
43,44,48,305,373,373,467,546,590,910,1259,1530,1589,1391
44,45,49,9,5,7,10,17,17,24,58,83,64,46
45,46,50,0,2,5,3,3,8,8,12,19,15,24
46,47,51,51,92,100,115,143,157,229,419,731,538,393
47,48,53,17,17,33,36,74,83,109,155,211,209,161
48,49,54,7,14,8,13,17,20,33,82,153,169,136
49,50,55,16,20,15,34,59,99,122,187,302,248,267
50,51,56,1,5,9,23,24,48,49,29,74,84,56
51,52,72,144,148,113,119,91,62,57,60,64,51,61
52,53,US,1980,2703,3434,4262,5775,7233,9947,15215,21228,19003,15246
